| Fecha y Hora         | Ciudad     | Temperatura (°C)     | Humedad (%)     | Presión (hPa)   | Viento (m/s)    | Descripción               |
|----------------------|------------|----------------------|-----------------|-----------------|-----------------|---------------------------|
| 2025-02-07 00:40:47  | Toronto    | -1.1                 | 84              | 1009            | 11.8            | broken clouds             |
| 2025-02-08 01:26:59  | Toronto    | -6.1                 | 69              | 1027            | 5.1             | overcast clouds           |
| 2025-02-08 16:15:02  | Toronto    | -2.3                 | 71              | 1019            | 4.0             | overcast clouds           |
| 2025-02-08 16:30:02  | Toronto    | -2.3                 | 70              | 1019            | 4.6             | overcast clouds           |
| 2025-02-08 16:45:02  | Toronto    | -2.4                 | 70              | 1018            | 4.6             | light snow                |
| 2025-02-08 17:15:03  | Toronto    | -2.5                 | 72              | 1018            | 7.2             | light snow                |
| 2025-02-08 17:30:04  | Toronto    | -2.4                 | 72              | 1018            | 7.7             | light snow                |
| 2025-02-08 17:45:02  | Toronto    | -2.4                 | 72              | 1016            | 7.7             | overcast clouds           |
| 2025-02-08 18:00:02  | Toronto    | -2.5                 | 73              | 1016            | 7.7             | overcast clouds           |
| 2025-02-08 18:15:01  | Toronto    | -2.4                 | 75              | 1016            | 7.7             | overcast clouds           |
| 2025-02-08 18:30:01  | Toronto    | -2.2                 | 73              | 1016            | 6.2             | overcast clouds           |
| 2025-02-08 18:45:02  | Toronto    | -2.2                 | 74              | 1015            | 4.6             | light snow                |
| 2025-02-08 19:00:04  | Toronto    | -2.8                 | 82              | 1015            | 6.2             | light snow                |
| 2025-02-08 19:15:02  | Toronto    | -2.9                 | 84              | 1015            | 6.2             | light snow                |
| 2025-02-08 19:30:01  | Toronto    | -2.9                 | 86              | 1015            | 8.2             | snow                      |
| 2025-02-08 19:45:02  | Toronto    | -2.9                 | 86              | 1014            | 7.2             | snow                      |
